SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-3-2018,Single Family Residential,9415 Hickory St,Los Angeles,CA,90002,380000,3,2.0,C37 - Metropolitan South,1083,3375,2007,632,351,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9415-Hickory-St-90002/home/12293052,CRMLS,DW18020594,N,Y,33.951273,-118.2354505
PAST SALE,,Single Family Residential,9428 Hickory St,Los Angeles,CA,90002,360000,3,2.0,,1197,3384,2007,,301,,,,,http://www.redfin.com/CA/Los-Angeles/9428-Hickory-St-90002/home/17138899,,,N,Y,33.9509145,-118.2348166
PAST SALE,January-3-2020,Single Family Residential,9316 Grape St,Los Angeles,CA,90002,363000,2,2.0,C37 - Metropolitan South,622,4500,1924,22,584,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9316-Grape-St-90002/home/7299825,CRMLS,DW19254980,N,Y,33.9519806,-118.2361212
PAST SALE,August-12-2019,Single Family Residential,9717 Holmes Ave,Los Angeles,CA,90002,370000,3,1.0,C37 - Metropolitan South,1152,6653,1915,166,321,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9717-Holmes-Ave-90002/home/7301561,CRMLS,DW19165884,N,Y,33.9476207,-118.24099
PAST SALE,December-6-2019,Single Family Residential,9828 Holmes Ave,Los Angeles,CA,90002,346000,2,1.0,C37 - Metropolitan South,690,3322,1924,50,501,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9828-Holmes-Ave-90002/home/7301723,CRMLS,PW19252446,N,Y,33.9466253,-118.2405217
PAST SALE,,Single Family Residential,9606 Defiance Ave,Los Angeles,CA,90002,360000,3,2.0,,1080,2922,2007,,333,,,,,http://www.redfin.com/CA/Los-Angeles/9606-Defiance-Ave-90002/home/17232262,,,N,Y,33.9487327,-118.245056
PAST SALE,December-4-2018,Single Family Residential,9411 Beach St,Los Angeles,CA,90002,380000,3,2.0,699 - Not Defined,1028,3327,1986,417,370,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9411-Beach-St-90002/home/7301450,CRMLS,RS18192650,N,Y,33.9512233,-118.2421313
PAST SALE,October-30-2019,Single Family Residential,9601 Holmes Ave,Los Angeles,CA,90002,246000,2,1.0,C37 - Metropolitan South,572,2050,1928,87,430,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9601-Holmes-Ave-90002/home/7301588,CRMLS,OC19145124,N,Y,33.9489873,-118.2409329
PAST SALE,,Single Family Residential,9601 1/2 Holmes Ave,Los Angeles,CA,90002,246000,2,1.0,,572,2050,1928,,430,,,,,http://www.redfin.com/CA/Los-Angeles/9601-1-2-Holmes-Ave-90002/home/7301589,,,N,Y,33.9489733,-118.2410699
PAST SALE,December-13-2019,Single Family Residential,1655 E 95th Pl,Los Angeles,CA,90002,370000,2,2.0,C37 - Metropolitan South,624,3254,1922,43,593,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1655-E-95th-Pl-90002/home/7301416,CRMLS,DW19212168,N,Y,33.9503367,-118.2443535
PAST SALE,September-28-2018,Single Family Residential,10328 Hickory St,Los Angeles,CA,90002,305000,2,1.0,C34 - Los Angeles Southwest,846,3252,1953,484,361,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10328-Hickory-St-90002/home/7312655,CRMLS,RS18194313,N,Y,33.9423026,-118.2355875
PAST SALE,January-16-2019,Single Family Residential,10331 Juniper St,Los Angeles,CA,90002,415000,3,1.0,WATT - Watts,964,6501,1951,374,430,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10331-Juniper-St-90002/home/7312885,CRMLS,DW18283695,N,Y,33.9421818,-118.2329719
PAST SALE,December-21-2018,Multi-Family (2-4 Unit),10351 Juniper St,Los Angeles,CA,90002,490000,3,2.0,C34 - Los Angeles Southwest,1555,6501,1912,400,315,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10351-Juniper-St-90002/home/7312882,CRMLS,RS18250748,N,Y,33.9416351,-118.2329948
PAST SALE,July-2-2019,Single Family Residential,10344 Weigand Ave,Los Angeles,CA,90002,375000,2,1.0,WATT - Watts,590,3364,1926,207,636,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10344-Weigand-Ave-90002/home/7312604,CRMLS,RS19125059,N,Y,33.941823,-118.2295343
PAST SALE,January-3-2020,Single Family Residential,9515 Croesus Ave,Los Angeles,CA,90002,345000,3,1.5,C34 - Los Angeles Southwest,910,3376,1959,22,379,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9515-Croesus-Ave-90002/home/7300088,CRMLS,PW19164265,N,Y,33.9500338,-118.2343119
PAST SALE,October-17-2018,Single Family Residential,9567 Maie,Los Angeles,CA,90002,365000,2,2.0,C37 - Metropolitan South,704,2922,1912,465,518,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9567-Maie-Ave-90002/home/7301333,CRMLS,DW18197439,N,Y,33.9496364,-118.2446448
PAST SALE,June-18-2018,Single Family Residential,9601 Grandee Ave,Los Angeles,CA,90002,290000,2,1.0,C34 - Los Angeles Southwest,722,3252,1910,586,402,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9601-Grandee-Ave-90002/home/7301279,CRMLS,IN16183988,N,Y,33.9489248,-118.2436397
PAST SALE,March-29-2019,Single Family Residential,9603 Grandee Ave,Los Angeles,CA,90002,300000,2,1.0,WATT - Watts,668,3251,1923,302,449,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9603-Grandee-Ave-90002/home/7301280,CRMLS,SB18296450,N,Y,33.9488575,-118.2436283
PAST SALE,September-23-2019,Single Family Residential,9502 Maie Ave,Los Angeles,CA,90002,365000,2,1.0,699 - Not Defined,860,4229,1918,124,424,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9502-Maie-Ave-90002/home/7301419,CRMLS,TR19179866,N,Y,33.9506396,-118.2443096
PAST SALE,April-18-2018,Multi-Family (2-4 Unit),9322 Compton Ave,Los Angeles,CA,90002,436000,3,3.0,699 - Not Defined,1699,9052,1950,647,257,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9322-Compton-Ave-90002/home/40144008,CRMLS,DW17193021,N,Y,33.951756,-118.245654
PAST SALE,October-19-2018,Single Family Residential,9216 Success Ave,Los Angeles,CA,90002,370000,2,1.5,C34 - Los Angeles Southwest,924,3690,1910,463,400,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9216-Success-Ave-90002/home/7300933,CRMLS,SB18209298,N,Y,33.9528256,-118.2485736
PAST SALE,January-23-2020,Single Family Residential,10964 Willowbrook Ave,Los Angeles,CA,90059,440000,3,3.0,C37 - Metropolitan South,1536,2696,1992,2,286,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10964-Willowbrook-Ave-90059/home/7314459,CRMLS,DW19274198,N,Y,33.9357649,-118.241127
PAST SALE,December-13-2018,Single Family Residential,10421 Mary Ave,Los Angeles,CA,90002,439900,3,2.0,C37 - Metropolitan South,1109,5301,1944,408,397,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10421-Mary-Ave-90002/home/7311850,CRMLS,DW18193502,N,Y,33.9418488,-118.2498528
PAST SALE,May-30-2019,Single Family Residential,10511 S Parmelee Ave,Los Angeles,CA,90002,437000,3,1.0,Metropolitan South,997,5199,1944,240,438,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10511-Parmelee-Ave-90002/home/7311898,TheMLS,19-444454,N,Y,33.9405622,-118.2506751
PAST SALE,,Single Family Residential,10528 E Zamora Ave,Los Angeles,CA,90002,350000,3,2.0,,1315,6190,1944,,266,,,,,http://www.redfin.com/CA/Los-Angeles/10528-E-Zamora-Ave-90002/home/7311867,,,N,Y,33.9400711,-118.2513603
PAST SALE,November-15-2019,Single Family Residential,2069 E Imperial,Los Angeles,CA,90059,940000,2,1.0,699 - Not Defined,868,16462,1925,71,1083,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2069-E-Imperial-Hwy-90059/home/7313430,CRMLS,DW19191992,N,Y,33.9298332,-118.235005
PAST SALE,November-21-2019,Single Family Residential,11209 Hooper Ave,Los Angeles,CA,90059,405000,2,1.0,C37 - Metropolitan South,835,4993,1940,65,485,,Sold,,,http://www.redfin.com/CA/Los-Angeles/11209-Hooper-Ave-90059/home/7315211,CRMLS,SB19212484,N,Y,33.9327968,-118.252411
PAST SALE,March-29-2019,Single Family Residential,10901 Lou Dillon Ave,Los Angeles,CA,90059,405000,3,1.0,WATT - Watts,997,5201,1948,302,406,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10901-Lou-Dillon-Ave-90059/home/7313842,CRMLS,TR19037321,N,Y,33.9370246,-118.2350964
PAST SALE,,Single Family Residential,10622 Anzac Ave,Los Angeles,CA,90002,72000,2,1.0,,466,6500,1921,,155,,,,,http://www.redfin.com/CA/Los-Angeles/10622-Anzac-Ave-90002/home/7312473,,,N,Y,33.9391438,-118.2378179
PAST SALE,August-1-2018,Multi-Family (2-4 Unit),10605 Hickory St,Los Angeles,CA,90002,475000,0,,C34 - Los Angeles Southwest,1956,6503,1921,542,243,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10605-Hickory-St-90002/home/7312559,i-Tech MLS,318001811,N,Y,33.9395953,-118.2362548
PAST SALE,August-8-2018,Single Family Residential,10712 Grape St,Los Angeles,CA,90059,300000,3,1.0,C34 - Los Angeles Southwest,1052,5204,1944,535,285,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10712-Grape-St-90059/home/7313793,CRMLS,DW18152392,N,Y,33.9385881,-118.2367822
PAST SALE,July-15-2019,Single Family Residential,1967 Santa Ana N,Los Angeles,CA,90059,360000,3,1.0,WATT - Watts,842,3082,1920,194,428,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1967-Santa-Ana-Blvd-N-90059/home/7313778,CRMLS,DW19110222,N,Y,33.9376931,-118.237327
PAST SALE,July-25-2018,Single Family Residential,2324 E 108th St,Los Angeles,CA,90059,347000,3,1.0,C37 - Metropolitan South,956,3151,1955,549,363,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2324-E-108th-St-90059/home/7314090,CRISNet,SR18113296,N,Y,33.9368822,-118.2303106
PAST SALE,March-4-2019,Single Family Residential,10716 Weigand Ave,Los Angeles,CA,90059,340000,2,1.0,WATT - Watts,720,2275,1910,327,472,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10716-Weigand-Ave-90059/home/7314194,CRMLS,RS18285770,N,Y,33.9383836,-118.229511
PAST SALE,,Single Family Residential,1957 E 114th St,Los Angeles,CA,90059,385000,3,1.0,,1026,6870,1922,,375,,,,,http://www.redfin.com/CA/Los-Angeles/1957-E-114th-St-90059/home/7313056,,,N,Y,33.9316692,-118.2369696
PAST SALE,August-28-2019,Single Family Residential,10968 Wilmington Ave,Los Angeles,CA,90059,392000,3,2.0,WATT - Watts,1197,3254,1991,150,327,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10968-Wilmington-Ave-90059/home/7313181,CRMLS,DW19167028,N,Y,33.9356345,-118.2387513
PAST SALE,September-25-2019,Single Family Residential,11020 Wilmington Ave,Los Angeles,CA,90059,40000,3,3.0,C37 - Metropolitan South,1795,3251,2001,122,22,,Sold,,,http://www.redfin.com/CA/Los-Angeles/11020-Wilmington-Ave-90059/home/8111781,CRMLS,CV19158906,N,Y,33.9345423,-118.2386714
PAST SALE,January-16-2019,Single Family Residential,1477 E 111th St,Los Angeles,CA,90059,329000,2,1.0,WATT - Watts,956,2843,1955,374,344,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1477-E-111th-St-90059/home/7315130,CRMLS,DW18240280,N,Y,33.9349995,-118.2483909
PAST SALE,May-9-2018,Single Family Residential,1553 E 111th St,Los Angeles,CA,90059,379900,3,2.0,C37 - Metropolitan South,1446,3127,1954,626,263,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1553-E-111th-St-90059/home/7315127,CRMLS,DW18051478,N,Y,33.9350561,-118.2472374
PAST SALE,June-26-2018,Single Family Residential,11115 Evers Ave,Los Angeles,CA,90059,330000,2,1.0,C34 - Los Angeles Southwest,840,3205,1921,578,393,,Sold,,,http://www.redfin.com/CA/Los-Angeles/11115-Evers-Ave-90059/home/7315164,CRMLS,DW18097436,N,Y,33.9342711,-118.2476143
PAST SALE,October-19-2018,Single Family Residential,1272 E 108th St,Los Angeles,CA,90059,410000,3,1.0,C37 - Metropolitan South,998,5488,1955,463,411,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1272-E-108th-St-90059/home/7314944,CRMLS,DW18221217,N,Y,33.9376343,-118.2524567
PAST SALE,July-19-2018,Single Family Residential,1257 E 109th St,Los Angeles,CA,90059,330000,3,1.0,699 - Not Defined,940,3660,1955,555,351,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1257-E-109th-St-90059/home/7314962,CRMLS,PW18034790,N,Y,33.9370165,-118.2526851
PAST SALE,September-13-2019,Single Family Residential,1679 E 108th St,Los Angeles,CA,90059,387500,2,1.5,WATT - Watts,1428,11909,1947,134,271,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1679-E-108th-St-90059/home/17500048,CRMLS,CV19063827,N,Y,33.938125,-118.24317
PAST SALE,,Multi-Family (2-4 Unit),1641 E 109th St #1641,Los Angeles,CA,90059,680000,7,5.0,,2703,5463,,,252,,,,,http://www.redfin.com/CA/Los-Angeles/1641-E-109th-St-90059/unit-1641/home/167626961,,,N,Y,33.9370598,-118.2447819
PAST SALE,December-30-2019,Single Family Residential,1635 E 110th St,Los Angeles,CA,90059,350000,2,1.0,C34 - Los Angeles Southwest,880,3934,1961,26,398,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1635-E-110th-St-90059/home/7314491,CRMLS,PW19135761,N,Y,33.9360238,-118.2449189
PAST SALE,,Single Family Residential,1503 E 112th St,Los Angeles,CA,90059,905000,2,1.0,,660,7290,1923,,1371,,,,,http://www.redfin.com/CA/Los-Angeles/1503-E-112th-St-90059/home/7315157,,,N,Y,33.9333391,-118.2482995
PAST SALE,August-7-2018,Multi-Family (2-4 Unit),10735 Juniper St,Los Angeles,CA,90059,235000,3,2.0,WATT - Watts,1341,2582,1923,536,175,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10735-Juniper-St-90059/home/145086818,CRMLS,DW18044751,N,Y,33.9378868,-118.2331204
PAST SALE,January-22-2019,Single Family Residential,10825 Lou Dillon,Los Angeles,CA,90059,350000,2,2.0,C37 - Metropolitan South,953,5199,1900,368,367,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10825-Lou-Dillon-Ave-90059/home/7313845,CRMLS,DW18284448,N,Y,33.9373679,-118.235005
PAST SALE,May-30-2018,Single Family Residential,1663 E 111th St,Los Angeles,CA,90059,320000,2,1.0,C34 - Los Angeles Southwest,779,3866,1955,605,411,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1663-E-111th-St-90059/home/7314547,CRMLS,DW18040779,N,Y,33.9350958,-118.2438567
PAST SALE,October-4-2019,Single Family Residential,1676 E 111th St,Los Angeles,CA,90059,410000,2,1.0,WATT - Watts,912,6677,1928,113,450,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1676-E-111th-St-90059/home/7314603,CRMLS,PW19184344,N,Y,33.934641,-118.2432286
PAST SALE,May-23-2018,Single Family Residential,10880 Weigand Ave,Los Angeles,CA,90059,339000,3,1.0,WATT - Watts,817,2716,1957,612,415,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10880-Weigand-Ave-90059/home/7314162,CRMLS,PW18054088,N,Y,33.9348158,-118.2305619
PAST SALE,September-10-2019,Single Family Residential,10838 Weigand Ave,Los Angeles,CA,90059,350000,3,1.0,WATT - Watts,1000,2716,1948,137,350,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10838-Weigand-Ave-90059/home/7314152,CRMLS,MB19121429,N,Y,33.9358859,-118.2302877
PAST SALE,August-24-2018,Single Family Residential,2210 E 112th St,Los Angeles,CA,90059,372000,3,1.0,WATT - Watts,804,3704,1955,519,463,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2210-E-112th-St-90059/home/7313462,CRMLS,PW18182125,N,Y,33.9331863,-118.2331661
PAST SALE,February-27-2019,Single Family Residential,1655 E 112th St,Los Angeles,CA,90059,410000,3,2.0,C37 - Metropolitan South,1242,5398,1941,332,330,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1655-E-112th-St-90059/home/7314626,CRMLS,IG19021978,N,Y,33.9332401,-118.2441879
PAST SALE,April-24-2018,Single Family Residential,1622 E 112th St,Los Angeles,CA,90059,365000,3,1.0,C23 - Metropolitan,1038,6814,1944,641,352,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1622-E-112th-St-90059/home/7314733,CRMLS,MB18063961,N,Y,33.9328416,-118.2454671
PAST SALE,March-20-2018,Single Family Residential,1701 E 112th St,Los Angeles,CA,90059,250000,2,1.0,699 - Not Defined,540,3348,1914,676,463,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1701-E-112th-St-90059/home/7314621,CRMLS,RS18022850,N,Y,33.9331857,-118.2433999
PAST SALE,April-30-2018,Single Family Residential,1638 E 112th St,Los Angeles,CA,90059,400000,3,3.0,C37 - Metropolitan South,1482,3409,1981,635,270,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1638-E-112th-St-90059/home/7314737,CRMLS,DW18061471,N,Y,33.9328106,-118.2449075
PAST SALE,October-3-2018,Single Family Residential,1656 E 112th St,Los Angeles,CA,90059,372000,3,1.0,699 - Not Defined,1003,6827,1945,479,371,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1656-E-112th-St-90059/home/7314709,CRMLS,PW18195249,N,Y,33.9328447,-118.2440052
PAST SALE,June-7-2018,Single Family Residential,1631 E 113th St,Los Angeles,CA,90059,240000,3,1.0,C34 - Los Angeles Southwest,1134,5685,1955,597,212,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1631-E-113th-St-90059/home/7314724,CRISNet,SR17125436,N,Y,33.9323314,-118.2451016
PAST SALE,August-9-2018,Single Family Residential,11151 Compton Ave,Los Angeles,CA,90059,375000,3,2.0,WATT - Watts,1026,4670,2015,534,365,,Sold,,,http://www.redfin.com/CA/Los-Angeles/11151-Compton-Ave-90059/home/102187243,CRMLS,MB18114220,N,Y,33.9333189,-118.2466092
PAST SALE,April-22-2019,Single Family Residential,1640 E 112th St,Los Angeles,CA,90059,382000,3,2.0,C37 - Metropolitan South,1439,6819,1910,278,265,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1640-E-112th-St-90059/home/7314738,CRMLS,DW19057429,N,Y,33.9328118,-118.2447819
PAST SALE,,Multi-Family (2-4 Unit),1686 E 108th St,Los Angeles,CA,90059,355000,2,1.0,,1104,7662,1924,,322,,,,,http://www.redfin.com/CA/Los-Angeles/1686-E-108th-St-90059/home/7314353,,,N,Y,33.9376634,-118.2430001
PAST SALE,November-30-2018,Single Family Residential,1784 E 105th St,Los Angeles,CA,90002,400000,2,1.0,WATT - Watts,1184,6250,1920,421,338,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1784-E-105th-St-90002/home/7312269,CRMLS,DW18247313,N,Y,33.9404877,-118.2407269
PAST SALE,December-12-2018,Single Family Residential,1813 E 106th St,Los Angeles,CA,90002,345000,3,2.0,WATT - Watts,1159,3124,1984,409,298,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1813-E-106th-St-90002/home/7312288,CRMLS,RS18212966,N,Y,33.9400584,-118.2402589
PAST SALE,February-25-2019,Single Family Residential,1777 E 109th St,Los Angeles,CA,90059,325000,2,1.0,WATT - Watts,846,3126,1984,334,384,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1777-E-109th-St-90059/home/7314386,CRMLS,DW18292926,N,Y,33.9373204,-118.2410063
PAST SALE,August-28-2018,Single Family Residential,1814 E 109th St,Los Angeles,CA,90059,335000,3,1.0,C37 - Metropolitan South,720,3393,1922,515,465,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1814-E-109th-St-90059/home/7314412,CRMLS,DW18165120,N,Y,33.9369463,-118.2402806
PAST SALE,April-11-2019,Single Family Residential,10303 Beach St,Los Angeles,CA,90002,362000,3,2.0,WATT - Watts,1188,5057,1974,289,305,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10303-Beach-St-90002/home/7312157,CRMLS,IV19043625,N,Y,33.9430071,-118.242303
PAST SALE,June-25-2018,Single Family Residential,1786 113th St,Los Angeles,CA,90059,295000,2,1.0,C34 - Los Angeles Southwest,722,3431,1913,579,409,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1786-E-113th-St-90059/home/7314802,CRMLS,DW18061262,N,Y,33.9318874,-118.2410471
PAST SALE,April-3-2018,Single Family Residential,1751 E 112th St,Los Angeles,CA,90059,375000,2,1.0,C37 - Metropolitan South,784,6631,1945,662,478,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1751-E-112th-St-90059/home/7314656,CRISNet,SR18041107,N,Y,33.9332024,-118.2424062
PAST SALE,May-16-2018,Single Family Residential,1701 E 115th St,Los Angeles,CA,90059,389000,3,1.0,Metropolitan South,1030,6857,1927,619,378,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1701-E-115th-St-90059/home/7314854,TheMLS,18-299736,N,Y,33.9304903,-118.2433199
PAST SALE,November-27-2018,Single Family Residential,1755 E 111th Pl,Los Angeles,CA,90059,410000,3,1.0,C37 - Metropolitan South,923,4874,1923,424,444,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1755-E-111th-Pl-90059/home/7314587,CRMLS,DW18239427,N,Y,33.9341182,-118.2422692
PAST SALE,January-10-2019,Single Family Residential,1704 E 111th Pl,Los Angeles,CA,90059,305000,2,1.0,WATT - Watts,620,3250,1910,380,492,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1704-E-111th-Pl-90059/home/7314630,CRMLS,DW18257093,N,Y,33.9337766,-118.2433199
PAST SALE,April-9-2019,Single Family Residential,1772 E 111th Pl,Los Angeles,CA,90059,410000,3,1.0,C37 - Metropolitan South,864,6501,1925,291,475,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1772-E-111th-Pl-90059/home/7314649,CRMLS,DW19043274,N,Y,33.9337336,-118.2417209
PAST SALE,September-6-2018,Single Family Residential,1752 E 111th Pl,Los Angeles,CA,90059,367500,3,2.0,699 - Not Defined,1286,3250,2007,506,286,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1752-E-111th-Pl-90059/home/17225364,CRMLS,DW18141677,N,Y,33.9336848,-118.2424405
PAST SALE,October-30-2018,Single Family Residential,1760 E 112th St,Los Angeles,CA,90059,375000,3,1.0,Metropolitan South,1420,6847,1908,452,264,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1760-E-112th-St-90059/home/7314683,TheMLS,18-384714,N,Y,33.9328238,-118.2419951
PAST SALE,,Single Family Residential,1712 E 112th St,Los Angeles,CA,90059,380000,3,1.0,,1092,3419,1957,,348,,,,,http://www.redfin.com/CA/Los-Angeles/1712-E-112th-St-90059/home/7314716,,,N,Y,33.932807,-118.2429887
PAST SALE,July-26-2019,Single Family Residential,1719 E 111th Pl,Los Angeles,CA,90059,460000,3,2.5,C37 - Metropolitan South,1900,4551,1985,183,242,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1719-E-111th-Pl-90059/home/7314594,CRMLS,DW19143600,N,Y,33.9341421,-118.2428174
PAST SALE,March-22-2018,Single Family Residential,11145 Compton Ave,Los Angeles,CA,90059,362900,3,2.0,Metropolitan South,1026,3166,2015,674,354,,Sold,,,http://www.redfin.com/CA/Los-Angeles/11145-Compton-Ave-90059/home/102186373,TheMLS,18-310444,N,Y,33.9334663,-118.2466207
PAST SALE,May-10-2019,Single Family Residential,10456 E Zamora Ave,Los Angeles,CA,90002,450000,3,2.0,Metropolitan South,1141,5000,1944,260,394,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10456-E-Zamora-Ave-90002/home/7311874,TheMLS,19-455384,N,Y,33.9410209,-118.2510862
PAST SALE,July-3-2018,Single Family Residential,10501 Parmelee Ave,Los Angeles,CA,90002,420000,3,1.0,C37 - Metropolitan South,1030,5199,1944,571,408,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10501-Parmelee-Ave-90002/home/7311896,CRMLS,MB18104659,N,Y,33.9408427,-118.2506751
PAST SALE,July-5-2019,Single Family Residential,1654 E 110th St,Los Angeles,CA,90059,355000,3,1.0,C34 - Los Angeles Southwest,1025,8570,1910,204,346,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1654-E-110th-St-90059/home/7314531,CRMLS,SB19142578,N,Y,33.9356386,-118.2440509
PAST SALE,January-15-2019,Single Family Residential,11312 Wilmington Ave,Los Angeles,CA,90059,395000,2,2.0,C34 - Los Angeles Southwest,1640,4890,1946,375,241,,Sold,,,http://www.redfin.com/CA/Los-Angeles/11312-Wilmington-Ave-90059/home/7313057,CRMLS,SB18252821,N,Y,33.9320563,-118.238797
PAST SALE,April-5-2019,Single Family Residential,2225 E 105th St,Los Angeles,CA,90002,352000,2,1.0,WATT - Watts,880,3677,1956,295,400,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2225-E-105th-St-90002/home/7312914,CRMLS,DW19012639,N,Y,33.940797,-118.2318526
PAST SALE,,Single Family Residential,10406 Juniper St,Los Angeles,CA,90002,130000,2,1.0,,708,3266,1921,,184,,,,,http://www.redfin.com/CA/Los-Angeles/10406-Juniper-St-90002/home/7312906,,,N,Y,33.9413207,-118.2325265
PAST SALE,May-25-2018,Single Family Residential,9628 Success Ave,Los Angeles,CA,90002,340000,3,1.0,WATT - Watts,1418,5298,1944,610,240,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9628-Success-Ave-90002/home/7301083,CRMLS,PW17237753,N,Y,33.9482416,-118.2488122
PAST SALE,March-29-2019,Single Family Residential,1516 E 98th St,Los Angeles,CA,90002,382000,3,2.0,C37 - Metropolitan South,975,4001,1924,302,392,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1516-E-98th-St-90002/home/7301101,CRMLS,DW18287176,N,Y,33.9473392,-118.2475032
PAST SALE,July-26-2018,Single Family Residential,1557 E 99th St,Los Angeles,CA,90002,400000,3,1.0,C16 - Mid Los Angeles,1458,4068,2000,548,274,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1557-E-99th-St-90002/home/7301108,CRMLS,IV18071253,N,Y,33.9471264,-118.2469093
PAST SALE,February-8-2019,Single Family Residential,1471 E 100 St,Los Angeles,CA,90002,420000,3,2.0,699 - Not Defined,1260,3125,2007,351,333,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1471-E-100th-St-90002/home/7301145,CRMLS,RS18226904,N,Y,33.9463325,-118.248299
PAST SALE,November-2-2018,Single Family Residential,10100 Courtney St,Los Angeles,CA,90002,380000,3,1.0,WATT - Watts,1044,6058,1952,449,364,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10100-Courtney-St-90002/home/7301178,CRMLS,RS18134926,N,Y,33.9449023,-118.2478884
PAST SALE,February-12-2019,Single Family Residential,9705 Maie Ave,Los Angeles,CA,90002,312000,2,1.0,C37 - Metropolitan South,741,3211,1910,347,421,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9705-Maie-Ave-90002/home/7301217,CRMLS,PW18283373,N,Y,33.9478548,-118.2446791
